# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-03-24 15:09:42 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03335500 WABASH RIVER AT LAFAYETTE, IN
# -----------------------------------------------------------------------------------
#
# Data provided for site 03335500
#    DD parameter   Description
#    01   00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	01_00060	01_00060_cd
5s	15s	20d	6s	14n	10s
USGS	03335500	2015-03-17 00:00	EST	23200	P
USGS	03335500	2015-03-17 00:15	EST	23100	P
USGS	03335500	2015-03-17 00:30	EST	23100	P
USGS	03335500	2015-03-17 00:45	EST	23100	P
USGS	03335500	2015-03-17 01:00	EST	23100	P
USGS	03335500	2015-03-17 01:15	EST	23100	P
USGS	03335500	2015-03-17 01:30	EST	23100	P
USGS	03335500	2015-03-17 01:45	EST	23000	P
USGS	03335500	2015-03-17 02:00	EST	22800	P
USGS	03335500	2015-03-17 02:15	EST	22800	P
USGS	03335500	2015-03-17 02:30	EST	22700	P
USGS	03335500	2015-03-17 02:45	EST	22900	P
USGS	03335500	2015-03-17 03:00	EST	22800	P
USGS	03335500	2015-03-17 03:15	EST	22800	P
USGS	03335500	2015-03-17 03:30	EST	22700	P
USGS	03335500	2015-03-17 03:45	EST	22700	P
USGS	03335500	2015-03-17 04:00	EST	22700	P
USGS	03335500	2015-03-17 04:15	EST	22700	P
USGS	03335500	2015-03-17 04:30	EST	22700	P
USGS	03335500	2015-03-17 04:45	EST	22700	P
USGS	03335500	2015-03-17 05:00	EST	22600	P
USGS	03335500	2015-03-17 05:15	EST	22600	P
USGS	03335500	2015-03-17 05:30	EST	22600	P
USGS	03335500	2015-03-17 05:45	EST	22600	P
USGS	03335500	2015-03-17 06:00	EST	22600	P
USGS	03335500	2015-03-17 06:15	EST	22500	P
USGS	03335500	2015-03-17 06:30	EST	22500	P
USGS	03335500	2015-03-17 06:45	EST	22500	P
USGS	03335500	2015-03-17 07:00	EST	22500	P
USGS	03335500	2015-03-17 07:15	EST	22500	P
